MnthWse,Cnt
2013-01-01,224
2013-02-01,217
2013-03-01,238
2013-04-01,324
2013-05-01,456
2013-06-01,660
2013-07-01,784
2013-08-01,410
2013-09-01,199
2013-10-01,180
2013-11-01,224
2013-12-01,266
2014-01-01,65
2014-02-01,72
2014-03-01,60
2014-04-01,75
2014-05-01,96
2014-06-01,134
2014-07-01,118
2014-08-01,142
2014-09-01,134
2014-10-01,189
2014-11-01,144
2014-12-01,107
2015-01-01,63
2015-02-01,45
2015-03-01,58
2015-04-01,40
2015-05-01,54
2015-06-01,97
2015-07-01,170
2015-08-01,94
2015-09-01,66
2015-10-01,113
2015-11-01,66
2015-12-01,122
2016-01-01,135
2016-02-01,112
2016-03-01,127
2016-04-01,77
2016-05-01,114
2016-06-01,156
2016-07-01,201
2016-08-01,389
2016-09-01,241
2016-10-01,206
2016-11-01,141
2016-12-01,164
2017-01-01,558
2017-02-01,316
2017-03-01,587
2017-04-01,778
2017-05-01,1295
2017-06-01,1605
2017-07-01,1627
2017-08-01,718
2017-09-01,412
2017-10-01,372
2017-11-01,323
2017-12-01,366
2018-01-01,28
2018-02-01,9
2018-03-01,32
2018-04-01,18
2018-05-01,20
2018-06-01,38
2018-07-01,31
2018-08-01,27
2018-09-01,24
2018-10-01,23
2018-11-01,32
2018-12-01,29
